Year,Passenger Numbers,Percent Growth,Aircraft Movements,Cargo Volume (Tons)
1998,40101387,,432046,598579
1999,40387538,0.7,438685,655409
2000,41048996,18,429922,695258
2001,34632474,-15.6,387594,517124
2002,31450168,-9.2,351453,506083
2003,29313271,-6.8,334515,483413
2004,32744186,8.8,353231,489776
2005,33394225,2.0,352871,520386
2006,33581412,0.5,359201,529303
2007,33581746,6.6,379500,503899
2008,37402541,4.5,387710,429912
2009,37453634,0.1,379751,356266
2010,39391234,5.2,387248,384179
2011,41045431,4.2,403564,340766
2012,44477209,8.4,424566,337357
2013,44944201,1.2,421400,325782
2014,47074162,4.9,431633,349585
2015,50067094,6.2,429815,389934
2016,53106505,6.1,450388,420086
2017,55832518,5.1,460343,491162
2018,57793313,3.5,470164,500081
2019,57488023,-0.5,458496,546437
2020,16427801,-71.4,231163,439358
2021,24343627,48.2,265597,528792
2022,42281641,73.7,355006,491192
2023,50196094,18.7,384871,484100
